<<<<<<< HEAD
ChinoTrad,1y?shì2nín3w?men4zhège5nà6shuí7shénme8bù9su?y?u10x?du?11y?12èr13dà14zh?ng15xi?o16n?rén17x?du?18rén19yú20ni?o21g?u22sh?23shù24zh?ngz?25yè26g?n27fèi28píf?29ròu30xi?yè31g?32rùnhuázh?33dàn34l?b?35w?ib?36y?máo37tóufà38tóu39?r40y?n41bízi42k?u43ch?44shé45zh?o46ji?oy?zi47x?gài48sh?u49dùpí50j?ngbù51breats52x?n53g?n54h?55ch?56y?o57zh?ngz?58x?n59zh?dào60shuìjiào61s?62sh?63yóuy?ng64f?i65bùxíng66lái67hu?ngyán68zuò69zhàn70g?i71shu?72tàiyáng73yuèliàng74x?ng75shu?76y?77shí78sh?79dìqiú80yún81ch?uy?n82hu?83hu?84sh?osh?ng85lùjìng86sh?n87hóng88l?sè89huángsè90báisè91h?isè92w?n93rè94l?ng95ch?ngfèn96x?n97h?o98huíhé99gàn100míngch?ng,Far East,Sino-Tibetan,0
Coreano,1naneun2dangsin3uli4i5geu6nugu7mwo8ani9modeun10manh-eun11hana12du13keun14gin15jag-eun16yeoja17manh-eun18salam19mulgogi20sae21gae22i23namu24ssi25ip26ppuli27namukkeobjil28pibu29yugche30pi31ppyeo32yuji33gyelan34ppul35kkoli36gis37meoli38meoli39gwi40nun41ko42ib43i44hyeo45galgolibaltob46bal47muleup48son49bae50mog51sumswida52simjang53gan54eumju55meogda56mulda57ssi58simjang59algoissda60jada61jusawi62jug-ida63suyeong64pali65sanchaeg66wassda67geojismal68anjda69dae70jugi71malhada72taeyang73dal74byeol75mul76bi77dol78molae79jigu80guleum81yeongi82bul83geum-yeongeongangjeungjinhyeobhoe84hwasang85tonglo86san87ppalgan88nogsaeg89nolang90hwaiteu91geom-eun92bam93tteugeoun94gamgi95wanjeonhan96saeloun97joh-eun98ilju99maleun100ileum,Far East,Koreanic,0
Hmong,1kuv2koj3peb4no5uas6uas7dabtsi8tsis9tagnrhocov10ntau11ibtug12ob13loj14ntev15meme16pojniam17ntau18tusneeg19ntses20noog21aub22covtuv23tsobntoo24noob25nplooj26hauvpaus27tawvntoo28daimtawvnqaij29nqaij30ntshav31pobtxha32roj33qe34horn35tustsovtustw36plaub37covplaubhau38lubtaubhau39pobntseg40qhovmuag41lubqhovntswg42lubqhovncauj43hniav44tusnplaig45claw46kotaw47hauvcaug48txhaistes49plab50cajdab51breats52lubplawv53siab54hausdej55noj56tom57noob58lubplawv59paub60pwtsaugzog61tuag62tua63ualuamdej64ya65taugkev66tuaj67dag68zaum69sawvntsug70muab71hais72hnub73hli74lubhnubqub75dej76nag77pobzeb78xuabzeb79lubntiajteb80huab81paluamyeeb82hluavtawskub83tshauv84hlawv85txojkev86roob87liab88ntsuab89daj90dawb91dub92hmontuj93kub94txias95tagnrho96tshiab97zoo98puagncig99qhuav100lubnpe,Far East,Hmong-Mien,0
Mongol,1bi2ta3bid4eneni5ter6khenbe7yuu8ügüi9bügd10olon11neg12khoyor13tom14urt15jijig16emegteikhün17olon18khün19zagas20shuvuu21nokhoi22sonsson23mod24üriig25navch26root27kholtos28aris29makhanbiye30tsus31yas32tos33öndög34ever35süül36ödtei37üs38tolgoi39chikh40nüd41khamar42am43shüd44khel45khums46khöl47övdög48gar49gedes50khüzüü51aajmaar52zürkhsetgel53eleg54uukh55idekh56khazakh57üriig58zürkhsetgel59medekh60untakh61ükhekh62alakh63usandselekh64nisejbaina65alkhaarai66ir67khudlaa68suukh69zogsojbaina70ög71gejkhelev72nar73sar74od75us76boroo77chuluu78els79delkhii80üül81utaa82gal83üns84shataakh85zam86uul87ulaan88nogoon89shar90tsagaan91khar92shönö93khaluunbaina94khüiten95büren96shine97sainbaina98toirog99khuuraibaina100ner,Far East,Mongol,0
Turco,1ben2sen3biz4bu5o6kim7ne8de?il9her?ey10çok11bir12iki13büyük14uzun15küçük16kad?n17çok18ki?i19bal?k20ku?21köpek22bit23a?aç24tohum25yaprak26kök27ba??rmak28cilt29et30kan31kemik32gres33yumurta34boynuz35kuyruk36ku?tüyü37saç38kafa39kulak40göz41burun42a??z43di?44dil45pençe46ayak47diz48el49göbek50boyun51breats52kalp53karaci?er54içki55yemek56?s?rmak57tohum58kalp59bilmek60uyku61ölmek62öldürmek63yüzmek64uçmak65yürümek66hadi67yalan68oturmak69durmak70vermek71söylemek72güne?73ay74star75su76ya?mur77ta?78kum79toprak80bulut81duman82ate?83kül84yanmak85yol86da?87k?rm?z?88ye?il89sar?90beyaz91siyah92gece93s?cak94so?uk95tam96yeni97iyi98yuvarlak99kuru100isim,Middle East,Turkic,0
Haitiano,1mwen2ou3nou4saa5ki6ki7kisa8pa9tout10anpil11youn12de13gwo14lontan15ti16fanm17anpil18moun19pwason20zwazo21chen22bouje23pyebwa24pititpitit25fèy26rasin27jape28po29vyann30san31zo32grès33ze34kòn35ke36plim37toutchevenantèt38tèt39zòrèy40je41nen42bouch43dan44lang45grif46pye47jenou48men49vant50kou51breats52kè53fwa54bwè55manje56mòde57pititpitit58kè59konnen60dòmi61mouri62touye63naje64vole65mache66vini67manti68chita69kanpe70bay71di72solèy73lalin74zetwal75dlo76lapli77wòch78sab79latè80nwaj81lafimen82dife83sann84boule85chemen86mòn87wouj88vèt89jòn90blan91nwa92lannwit93cho94frèt95plen96nouvo97bon98wonn99sèk100non,Western Europe,Romance,1
Georgiano,1me2t’k’ven3ch’ven4es5rom6vin7ra8ara9qvela10bevri11ert’i12ori13didi14khangrdzlivi15patara16k’ali17bevri18piri19t’evzi20p’rinveli21dzaghli22louse23khe24t’esli25p’ot’oli26root27k’erk’i28kani29khorts’i30siskhli31dzvali32zet’i33kverts’khi34rk’a35kudi36bumbuli37t’ma38khelmdzghvaneli39quri40t’vali41ts’khviri42piri43kbilis44ena45claw46p’ekhit’47mukhli48khelit’49muts’eli50kiseri51sunt’k’va52guli53ghvidzlshi54sasmeli55chama56bite57t’esli58guli59vits’i60dzili61ighupeba62mokvla63banaoba64p’rena65p’ekhit’66modi67tquili68ijdes69davdget’70mists’es71amboben72mze73mt’vare74varskvlavi75tsqali76tsvima77k’va78k’visha79dedamitsa80ghrubeli81motseva82ts’ets’khli83nats’ari84damtsvroba85gza86mt’is87tsit’eli88mtsvane89qvit’eli90t’et’ri91shavi92ghame93ts’kheli94ts’ivi95sruli96akhali97kargi98raundi99mshrali100sakheli,Eastern Europe,Kartvelian,0
Bengali,1?mi2?pani3?mar?4?'i5y?6k?7ki8n?9saba10an?ka11?ka12du'i13ba?a14d?rgha15ch??a16n?r?17an?ka18byakti19m?cha20p?khi21kukura22ukuna23g?cha24b?ja25g?ch?rap?t?26m?la27b?kala28c?ma??29m?nsa30rakta31h??a32carbil?g?n?33?ima34?i??35l?ja36p?laka37cula38m?th?39k?na40c?kha41n?ka42mukha43d?m?ta44jihb?45nakhara46p?47h?m??u48h?ta49p??a50gh??a51breats52hr?da?a53yakr?ta54p?nakar?55kh?'???56d?ntadi??phu??kar?57b?ja58hr?da?a59j?n?60ghuma61mar?62badha63santara?a64m?chi65padabraj?bhrama?a66?s?67mithy?68bas?69th?k?70dit?71bal?72s?rya73c?m?da74t?rak?75p?ni76br???i77p?thara78b?li79pr?thib?80m?gha81dh?m???82?guna83ch?'i84p???85patha86parbata87l?la88sabuja89haluda90s?d?91k?l?92r?ta93garama94?h?n??95samp?r?a96natuna97bh?la98br?tt?k?ra99?u?ka100n?ma,India,Indo-Aryan,1
Kannada,1n?nu2n?vu3n?vu4idu5adu6y?ru7?nu8alla9ell?10an?ka11ondu12era?u13do??adu14uddav?gide15sa??a16mahi?e17an?ka18vyakti19m?nu20hakki21n?yi22laus23mara24b?ja25ele26b?ru27toga?e28carma29m?nsa30rakta31m??e32gr?s33mo??e34kombu35b?la36gari37k?dalu38tale39kivi40ka??u41m?gu42b?yi43hallu44bh??e45pan?ja46p?da47mo?ak?lu48kai49ho??e50kuttige51usir??uvudu52hr?daya53yakr?ttu54p?n?ya55tinniri56kaccuvudu57b?ja58hr?daya59ti?idide60nidre61s?yu62kollu63?ju64h?ralu65na?eyiri66banni67su??u68ku?ituko??i69s?y???70n??i71h??u72s?rya73candra74nak?atra75n?ru76ma?e77kallu78mara?u79bh?mi80m??a81hoge82be?ki83b?di84barn85m?rga86parvata87kempu88hasiru89ha?adi90bi?i91kappu92r?tri93bisi94??ta95p?r?a96hosadu97o??eyadu98suttinalli99?u?ka100hesaru,India,Dravidian,1
>>>>>>> 6a18baab61013b34f818c2eb1d431d71921ace3d
